id,index,width,unihex,height,xoffset,yoffset,xadvance,chnl,x,y,page
40,570,49,U0028,104,2,30,50,15,0,0,0
41,571,49,U0029,104,1,30,50,15,0,105,0
106,332,53,U006A,103,-5,30,50,15,0,210,0
123,566,56,U007B,100,-5,32,50,15,50,0,0
125,567,56,U007D,100,-5,32,50,15,50,101,0
124,693,27,U007C,100,12,31,50,15,0,314,0
81,160,64,U0051,98,-7,33,50,15,0,415,0
91,568,49,U005B,96,3,29,50,15,28,314,0
93,569,49,U005D,96,3,29,50,15,54,202,0
47,560,57,U002F,91,-4,30,50,15,0,514,0
92,544,57,U005C,91,-4,30,50,15,0,606,0
36,599,60,U0024,90,-4,31,50,15,0,698,0
33,550,32,U0021,88,8,29,50,15,58,514,0
98,262,60,U0062,88,-4,30,50,15,58,603,0
100,271,60,U0064,88,-5,30,50,15,65,411,0
63,555,57,U003F,88,-4,30,50,15,91,500,0
102,303,61,U0066,87,-4,29,50,15,78,299,0
104,311,56,U0068,87,-3,30,50,15,104,202,0
107,335,61,U006B,87,-3,30,50,15,126,387,0
108,338,54,U006C,87,-2,30,50,15,140,290,0
105,316,50,U0069,86,0,30,50,15,107,0,0
103,304,64,U0067,85,-6,49,50,15,107,87,0
54,485,57,U0036,84,-3,33,50,15,158,0,0
48,479,59,U0030,84,-4,33,50,15,161,173,0
56,487,58,U0038,84,-4,33,50,15,172,85,0
57,488,57,U0039,84,-3,33,50,15,216,0,0
38,686,65,U0026,84,-6,33,50,15,0,789,0
79,123,65,U004F,84,-7,33,50,15,61,692,0
51,482,56,U0033,84,-3,33,50,15,119,589,0
83,169,60,U0053,84,-5,33,50,15,149,475,0
37,646,65,U0025,84,-7,33,50,15,188,378,0
113,395,60,U0071,84,-6,49,50,15,195,258,0
64,685,63,U0040,84,-7,33,50,15,221,170,0
71,70,62,U0047,84,-6,33,50,15,231,85,0
67,32,63,U0043,84,-6,33,50,15,274,0,0
65,4,67,U0041,83,-8,33,50,15,0,874,0
74,97,61,U004A,83,-5,34,50,15,66,777,0
75,99,63,U004B,83,-6,33,50,15,127,674,0
50,481,58,U0032,83,-4,33,50,15,176,560,0
121,456,62,U0079,83,-8,50,50,15,210,463,0
85,189,60,U0055,83,-5,34,50,15,254,343,0
86,212,65,U0056,83,-7,34,50,15,256,255,0
53,484,58,U0035,83,-4,34,50,15,285,170,0
112,393,60,U0070,83,-4,49,50,15,294,85,0
84,182,63,U0054,82,-7,34,50,15,338,0,0
78,114,61,U004E,82,-5,34,50,15,68,861,0
35,553,65,U0023,82,-7,33,50,15,128,758,0
80,158,60,U0050,82,-4,34,50,15,191,644,0
72,77,60,U0048,82,-5,34,50,15,235,547,0
82,161,61,U0052,82,-4,34,50,15,273,427,0
73,82,52,U0049,82,-2,34,50,15,315,339,0
69,45,58,U0045,82,-4,34,50,15,322,254,0
70,69,56,U0046,82,-2,34,50,15,344,169,0
66,31,61,U0042,82,-5,34,50,15,355,83,0
87,213,67,U0057,82,-8,34,50,15,402,0,0
88,218,63,U0058,82,-6,34,50,15,130,841,0
89,219,65,U0059,82,-7,34,50,15,130,924,0
90,229,61,U005A,82,-5,34,50,15,194,727,0
52,483,62,U0034,82,-5,34,50,15,252,630,0
76,102,57,U004C,82,-3,34,50,15,296,510,0
55,486,55,U0037,82,-2,34,50,15,335,422,0
77,112,62,U004D,82,-6,34,50,15,368,337,0
68,39,61,U0044,82,-5,34,50,15,381,252,0
49,480,41,U0031,82,-1,34,50,15,401,166,0
116,418,57,U0074,80,-3,37,50,15,68,944,0
59,559,34,U003B,79,7,54,50,15,417,83,0
60,629,63,U003C,72,-6,39,50,15,194,810,0
62,628,63,U003E,72,-6,39,50,15,256,713,0
101,277,60,U0065,68,-5,49,50,15,315,593,0
115,406,58,U0073,68,-4,49,50,15,354,505,0
111,358,62,U006F,68,-6,49,50,15,391,420,0
99,264,60,U0063,68,-4,49,50,15,431,335,0
97,235,60,U0061,68,-5,49,50,15,443,163,0
114,396,54,U0072,67,2,49,50,15,452,83,0
119,450,67,U0077,66,-8,50,50,15,0,958,0
110,349,56,U006E,67,-3,49,50,15,470,0,0
117,426,58,U0075,67,-4,50,50,15,443,232,0
109,347,63,U006D,67,-6,49,50,15,196,883,0
122,466,60,U007A,66,-5,50,50,15,196,951,0
118,449,62,U0076,66,-6,50,50,15,257,951,0
120,455,61,U0078,66,-5,50,50,15,258,786,0
95,561,63,U005F,26,-6,98,50,15,443,300,0
58,547,32,U003A,63,8,54,50,15,502,232,0
43,622,61,U002B,62,-5,44,50,15,504,151,0
42,543,62,U002A,61,-6,42,50,15,507,68,0
61,626,61,U003D,42,-5,52,50,15,527,0,0
126,634,59,U007E,31,-3,59,50,15,315,662,0
45,576,56,U002D,27,-3,61,50,15,195,343,0
94,700,51,U005E,48,-1,34,50,15,260,853,0
44,548,34,U002C,47,7,86,50,15,260,902,0
34,557,43,U0022,46,4,30,50,15,295,902,0
96,771,34,U0060,38,5,28,50,15,312,853,0
46,554,32,U002E,31,8,86,50,15,161,258,0
32,3,0,U0020,0,-10,96,50,15,58,692,0